# File Name: RGD_Gene_List.tsv
# 
# File Type: tab-separated values
# 
# More notes: TBA (to be added, in a future version)
# 
# Column Headers:
# MOD ID	Symbol	Synonyms	Name	Notes
1584969	Abl1	Abl|Abl1_mapped		
1590898	Abl2	Abl2_mapped|Abll|Arg		
1565768	Ablim1	LOC307989|MGC125264|RGD1565768		
1303094	Ablim2			
1565118	Ablim3	LOC307395|RGD1565118		
2307241	Abo	Abo2|LOC296504		
1311152	Abo2	Abo|NAGAT 2		
628609	Abo3	Abo|Abol1|Gbgt1		
1306279	Abr	LOC287537		
708493	Abra	Ms1|Stars		
1583256	Abracl	LOC685045		
1310785	Abt1	LOC306960|MGC116249		
1359363	Abtb1	MGC94157		
620724	Abtb2	Cca3		
7502825	Ac1576			
67379	Acaa1a	Acaa|Acaa1|MGC108766		
1562373	Acaa1b	LOC501072|RGD1562373		
620482	Acaa2			
621248	Acaca	ACC1|Acac		
620500	Acacb	Acc2		
1310159	Acad10	LOC304500|MGC187436|RGD1310159		
1306270	Acad11	LOC315973|RGD1306270		
1564209	Acad8	LOC367046|RGD1564209		
727973	Acad9	Nyggf2		
2011	Acadl	LCAD		
2012	Acadm	MCAD|MCAD, medium chain acyl-CoA dehydrogenase		
620514	Acads	Scad		
2013	Acadsb	2-MEBCAD|SBCAD		
2014	Acadvl	MGC93660|VLCAD|VLCAD, very-long-chain acyl-CoA dehydrogenase		
68358	Acan	Agc|Agc1|CSPCP		
1305360	Acap1	Centb1|LOC287443		
1562939	Acap2	Centb2|cnt-b2		
1310711	Acap3	Centb5|LOC313772		
2016	Acat1			
1359366	Acat2	Ab2-076|Acat3|MGC95138		
1562948	Acat2l1	LOC365096|RGD1562948		
727851	Acbd3	DAP|GOCAP1|GOLPH1|LOC289312		
1308404	Acbd4	LOC303577		
1309411	Acbd5	LOC307170		
1305030	Acbd6	LOC289125		
1564164	Acbd7	LOC361277|RGD1564164		
1309314	Accs	LOC362168|RGD1309314		
1596039	Accsl	LOC690470		
1565053	Acd	LOC307798|MGC116400		
2493	Ace	CD143|Dcp1|StsRR92		
728890	Ace2			
1561299	Ace3	LOC498012|RGD1561299		
1588582	Acer1	Asah3|LOC301118		
1304629	Acer2	Asah3l|LOC313339		
1561254	Acer3	LOC499210|Phca|RGD1561254		
69313	Ache			
1311945	Acin1	LOC305884		
1596198	Ackr1	Darc|LOC689105		
620323	Ackr2	Ccbp2|D6|MGC105345		
620601	Ackr3	CXC-R7|CXCR-7|Cmkor1|Cxcr7|RDC-1|Rdc1		
1596453	Ackr4	Ccrl1|LOC685243		
2018	Acly	ACL|Clatp|MGC124629		
620868	Acmsd			
1584701	Acnat1	LOC681043		
1359532	Acnat2	LOC313220|MGC108791		
2019	Aco1	AH|Acon1|IRE-BP 1|IRP1		
621360	Aco2			
1563454	Acod1	Irg1|LOC306127|RGD1563454		
70894	Acot1	ACH2|CTE-I|Cte1|LACH2		
2324815	Acot11	LOC100363074|LOC298302|Thea		
619752	Acot12	CACH-1|Cach|rACH|rCACH-1		
1306513	Acot13	LOC291135|Them2		
621055	Acot2	ARTISt/p43|MTE-I|Mte1		
1564089	Acot3	LOC314304|RGD1564089		
1596753	Acot4	LOC681337		
1565917	Acot5	LOC503049|MGC156788|RGD1565917		
1309669	Acot6	LOC299193|RGD1309669		
628856	Acot7	ACH1|ACT|Bach|CTE-II|CTE-IIa|CTE-IIb|LACH1|MGC105261|MTE-II|Rbach		
70368	Acot8	PTE-1|PTE-2|Pte1		
1359188	Acot9	Acate2|LOC302640		
619757	Acox1	AOX|RATACOA1|aCoA		
628684	Acox2	THCCox		
69245	Acox3			
1306814	Acoxl	LOC296138		
2020	Acp1	LMW-PTP-I, low molecular weight phosphotyrosine protein phosphatase isozyme 1		
2320876	Acp1-ps1	LOC100361084		
2021	Acp2	LAP|LMW-PTP-II, low molecular weight phosphotyrosine protein phosphatase isozyme 2		
2022	Acp5	TR-AP|TTRRAP|Trap		
1306336	Acp6	LOC295305|MGC116276		
1585399	Acp7	LOC687403|Papl		
2023	Acpp	5'-NT|Acpp11|FRAP|Ppal|RNACPP11|pap		
1308270	Acpt	LOC308569		
2024	Acr	Acro		
1564880	Acrbp			
620153	Acrv1	Sp10		
708557	Acsbg1	Grlacs|Lpd		
1588580	Acsbg2	LOC301120|MGC156748		
1562656	Acsf2	LOC619561		
1586037	Acsf3	LOC498962		
2015	Acsl1	ACS|Acas|COAA|Facl2|LACS 1		
70552	Acsl3	Acs3|Facl3|LACS 3		
69401	Acsl4	Acs4|Facl4|LACS 4		
69402	Acsl5	Acs5|Facl5|LACS 5		
