# input[ftp://ftp.sanger.ac.uk/pub/consortia/wormbase/STAFF/mh6/nightly_geneace/clones2.ace.gz] script ingest_wormbase_clone2.groovy
#Thu Mar 15 21:28:18 PDT 2018
# ID|SYMBOL|NAME|SYNONYMS|NOTES
2L52	2L52		2L52|Caenorhabditis elegans
H138	H138		Caenorhabditis elegans
H148	H148		Caenorhabditis elegans
HK2-1	HK2-1		HI958698|Caenorhabditis elegans
HK3(2)	HK3(2)		Caenorhabditis elegans
HK3-1	HK3-1		Caenorhabditis elegans
HK5	HK5		Caenorhabditis elegans
HSL151	HSL151		HQ696948|Caenorhabditis elegans
ICH1-	ICH1-		GH333708|Caenorhabditis elegans
ICH32	ICH32		Caenorhabditis elegans
ICH33	ICH33		Caenorhabditis elegans
ICH33B	ICH33B		Caenorhabditis elegans
ICH34	ICH34		Caenorhabditis elegans
ICH36	ICH36		Caenorhabditis elegans
ICH36B	ICH36B		Caenorhabditis elegans
ICH39B	ICH39B		Caenorhabditis elegans
ICH51	ICH51		Caenorhabditis elegans
ICH52	ICH52		Caenorhabditis elegans
ICH53	ICH53		Caenorhabditis elegans
IG3A	IG3A		Caenorhabditis elegans
IG3C	IG3C		Caenorhabditis elegans
IG6A	IG6A		Caenorhabditis elegans
IG10A	IG10A		Caenorhabditis elegans
IG11	IG11		Caenorhabditis elegans
IICOL9	IICOL9		Caenorhabditis elegans
JH8B1	JH8B1		JF416644|Caenorhabditis elegans
JH8B4	JH8B4		Caenorhabditis elegans
JH8B5	JH8B5		Caenorhabditis elegans
JH8B6	JH8B6		Caenorhabditis elegans
JH8B11	JH8B11		Caenorhabditis elegans
JH8B13	JH8B13		Caenorhabditis elegans
JH8B15	JH8B15		Caenorhabditis elegans
JH8B17	JH8B17		Caenorhabditis elegans
JH8B24	JH8B24		Caenorhabditis elegans
JH8B26	JH8B26		Caenorhabditis elegans
JH8B27	JH8B27		Caenorhabditis elegans
JH8B30	JH8B30		Caenorhabditis elegans
JH8B31	JH8B31		Caenorhabditis elegans
JH8B32	JH8B32		Caenorhabditis elegans
JH8B34	JH8B34		Caenorhabditis elegans
JH8B38	JH8B38		Caenorhabditis elegans
JH8B41	JH8B41		Caenorhabditis elegans
JH8B46	JH8B46		Caenorhabditis elegans
JH8B49	JH8B49		Caenorhabditis elegans
JH8B51	JH8B51		Caenorhabditis elegans
JH8B52	JH8B52		Caenorhabditis elegans
JH8B53	JH8B53		Caenorhabditis elegans
JH8B54	JH8B54		Caenorhabditis elegans
JH8B55	JH8B55		Caenorhabditis elegans
JH8B56	JH8B56		Caenorhabditis elegans
JH8B58	JH8B58		Caenorhabditis elegans
JH8B59	JH8B59		Caenorhabditis elegans
JH1227	JH1227		Caenorhabditis elegans
JH1227!	JH1227!		Caenorhabditis elegans
JH1234	JH1234		Caenorhabditis elegans
JH1234!	JH1234!		Caenorhabditis elegans
JH11853	JH11853		Caenorhabditis elegans
JH11853!	JH11853!		Caenorhabditis elegans
JH11856	JH11856		Caenorhabditis elegans
JH11856!	JH11856!		Caenorhabditis elegans
JH11859!	JH11859!		Caenorhabditis elegans
JH98502	JH98502		Caenorhabditis elegans
JH98503	JH98503		Caenorhabditis elegans
JH98505	JH98505		Caenorhabditis elegans
JH98508	JH98508		Caenorhabditis elegans
JH98509	JH98509		Caenorhabditis elegans
JH98510	JH98510		Caenorhabditis elegans
JH98513	JH98513		Caenorhabditis elegans
JH98514	JH98514		Caenorhabditis elegans
JHLNE1	JHLNE1		Caenorhabditis elegans
