# input[ftp://ftp.sanger.ac.uk/pub/consortia/wormbase/STAFF/mh6/nightly_geneace/clones2.ace.gz] script ingest_wormbase_clone2.groovy
#Thu Mar 15 21:28:18 PDT 2018
# ID|SYMBOL|NAME|SYNONYMS|NOTES
2L52	2L52		2L52|Caenorhabditis elegans
YAC_BRIDGE_I_12	YAC_BRIDGE_I_12		Caenorhabditis elegans
YAC_BRIDGE_I_13	YAC_BRIDGE_I_13		Caenorhabditis elegans
YAC_BRIDGE_I_15	YAC_BRIDGE_I_15		Caenorhabditis elegans
YAC_BRIDGE_I_16	YAC_BRIDGE_I_16		Caenorhabditis elegans
YAC_BRIDGE_I_17	YAC_BRIDGE_I_17		Caenorhabditis elegans
YAC_BRIDGE_I_18	YAC_BRIDGE_I_18		Caenorhabditis elegans
YAC_BRIDGE_I_19	YAC_BRIDGE_I_19		Caenorhabditis elegans
YAC_BRIDGE_I_20	YAC_BRIDGE_I_20		Caenorhabditis elegans
YAC_BRIDGE_I_21	YAC_BRIDGE_I_21		Caenorhabditis elegans
YAC_BRIDGE_I_23	YAC_BRIDGE_I_23		Caenorhabditis elegans
YAC_BRIDGE_I_24	YAC_BRIDGE_I_24		Caenorhabditis elegans
YAC_BRIDGE_I_25	YAC_BRIDGE_I_25		Caenorhabditis elegans
YAC_BRIDGE_I_99	YAC_BRIDGE_I_99		Caenorhabditis elegans
YAC_BRIDGE_V_1	YAC_BRIDGE_V_1		Caenorhabditis elegans
YAC_BRIDGE_V_3	YAC_BRIDGE_V_3		Caenorhabditis elegans
YAC_BRIDGE_V_4	YAC_BRIDGE_V_4		Caenorhabditis elegans
YAC_BRIDGE_V_5	YAC_BRIDGE_V_5		Caenorhabditis elegans
YAC_BRIDGE_V_6	YAC_BRIDGE_V_6		Caenorhabditis elegans
YAC_BRIDGE_V_8	YAC_BRIDGE_V_8		Caenorhabditis elegans
YAC_BRIDGE_V_10	YAC_BRIDGE_V_10		Caenorhabditis elegans
YAC_BRIDGE_V_11	YAC_BRIDGE_V_11		Caenorhabditis elegans
YAC_BRIDGE_V_13	YAC_BRIDGE_V_13		Caenorhabditis elegans
YAC_BRIDGE_V_14	YAC_BRIDGE_V_14		Caenorhabditis elegans
YAC_BRIDGE_V_15	YAC_BRIDGE_V_15		Caenorhabditis elegans
YAC_BRIDGE_V_16	YAC_BRIDGE_V_16		Caenorhabditis elegans
YAC_BRIDGE_V_17	YAC_BRIDGE_V_17		Caenorhabditis elegans
YAC_BRIDGE_V_18	YAC_BRIDGE_V_18		Caenorhabditis elegans
YAC_BRIDGE_V_19	YAC_BRIDGE_V_19		Caenorhabditis elegans
YAC_BRIDGE_V_20	YAC_BRIDGE_V_20		Caenorhabditis elegans
YAC_BRIDGE_V_21	YAC_BRIDGE_V_21		Caenorhabditis elegans
YAC_BRIDGE_X_30	YAC_BRIDGE_X_30		Caenorhabditis elegans
YAC_BRIDGE_X_31	YAC_BRIDGE_X_31		Caenorhabditis elegans
YAC_BRIDGE_X_34	YAC_BRIDGE_X_34		Caenorhabditis elegans
YAC_BRIDGE_X_36	YAC_BRIDGE_X_36		Caenorhabditis elegans
YAC_BRIDGE_X_37	YAC_BRIDGE_X_37		Caenorhabditis elegans
YAC_BRIDGE_X_38	YAC_BRIDGE_X_38		Caenorhabditis elegans
YAC_BRIDGE_X_39	YAC_BRIDGE_X_39		Caenorhabditis elegans
YAC_BRIDGE_X_43	YAC_BRIDGE_X_43		Caenorhabditis elegans
YAC_BRIDGE_X_44	YAC_BRIDGE_X_44		Caenorhabditis elegans
YAC_BRIDGE_X_45	YAC_BRIDGE_X_45		Caenorhabditis elegans
YAC_BRIDGE_X_46	YAC_BRIDGE_X_46		Caenorhabditis elegans
YAC_BRIDGE_X_47	YAC_BRIDGE_X_47		Caenorhabditis elegans
YAC_BRIDGE_X_48	YAC_BRIDGE_X_48		Caenorhabditis elegans
YAC_BRIDGE_X_49	YAC_BRIDGE_X_49		Caenorhabditis elegans
YAC_BRIDGE_X_50	YAC_BRIDGE_X_50		Caenorhabditis elegans
YAC_BRIDGE_X_51	YAC_BRIDGE_X_51		Caenorhabditis elegans
YAC_BRIDGE_X_52	YAC_BRIDGE_X_52		Caenorhabditis elegans
YAC_BRIDGE_X_53	YAC_BRIDGE_X_53		Caenorhabditis elegans
YAC_BRIDGE_X_54	YAC_BRIDGE_X_54		Caenorhabditis elegans
YAC_BRIDGE_X_55	YAC_BRIDGE_X_55		Caenorhabditis elegans
YAC_BRIDGE_X_56	YAC_BRIDGE_X_56		Caenorhabditis elegans
YAC_BRIDGE_X_57	YAC_BRIDGE_X_57		Caenorhabditis elegans
YAC_BRIDGE_X_58	YAC_BRIDGE_X_58		Caenorhabditis elegans
YAC_BRIDGE_X_59	YAC_BRIDGE_X_59		Caenorhabditis elegans
YAC_BRIDGE_X_60	YAC_BRIDGE_X_60		Caenorhabditis elegans
YAC_BRIDGE_X_61	YAC_BRIDGE_X_61		Caenorhabditis elegans
YAC_BRIDGE_X_62	YAC_BRIDGE_X_62		Caenorhabditis elegans
YAC_BRIDGE_X_67	YAC_BRIDGE_X_67		Caenorhabditis elegans
YAC_BRIDGE_X_69	YAC_BRIDGE_X_69		Caenorhabditis elegans
YAC_BRIDGE_X_70	YAC_BRIDGE_X_70		Caenorhabditis elegans
YAC_BRIDGE_X_71	YAC_BRIDGE_X_71		Caenorhabditis elegans
YAC_BRIDGE_X_72	YAC_BRIDGE_X_72		Caenorhabditis elegans
YAC_BRIDGE_X_73	YAC_BRIDGE_X_73		Caenorhabditis elegans
YAC_BRIDGE_X_74	YAC_BRIDGE_X_74		Caenorhabditis elegans
YAC_BRIDGE_X_75	YAC_BRIDGE_X_75		Caenorhabditis elegans
YOLK2-3	YOLK2-3		yk1399f04.5b|Caenorhabditis elegans
YOLK3-8	YOLK3-8		Caenorhabditis elegans
zip-1	zip-1		ZC581|Caenorhabditis elegans
